SegmentId,StartTime,Start,EndTime,Speed
1071845897,7/6/2021 12:30,44383.52083,7/6/2021 13:00,97.03333333
1071845897,7/6/2021 13:00,44383.54167,7/6/2021 13:30,103.3666667
1071845897,7/6/2021 13:30,44383.5625,7/6/2021 14:00,100.5
1071845897,7/6/2021 14:00,44383.58333,7/6/2021 14:30,95.06666667
1071845897,7/6/2021 14:30,44383.60417,7/6/2021 15:00,97.4
1071845897,7/6/2021 15:00,44383.625,7/6/2021 15:30,98.73333333
1071845897,7/6/2021 15:30,44383.64583,7/6/2021 16:00,103.2666667
1071845897,7/6/2021 16:00,44383.66667,7/6/2021 16:30,97.7
1071845897,7/6/2021 16:30,44383.6875,7/6/2021 17:00,87.13333333
1071845897,7/6/2021 17:00,44383.70833,7/6/2021 17:30,89.26666667
1071845897,7/6/2021 17:30,44383.72917,7/6/2021 18:00,89.36666667
1071845897,7/6/2021 18:00,44383.75,7/6/2021 18:30,100.8
1071845897,7/6/2021 18:30,44383.77083,7/6/2021 19:00,110
1071845897,7/6/2021 19:00,44383.79167,7/6/2021 19:30,109.6
1071845897,7/6/2021 19:30,44383.8125,7/6/2021 20:00,92.1
1071845897,7/6/2021 20:00,44383.83333,7/6/2021 20:30,95.4
1071845897,7/6/2021 20:30,44383.85417,7/6/2021 21:00,102.3
1071845897,7/6/2021 21:00,44383.875,7/6/2021 21:30,93.5
1071845897,7/6/2021 21:30,44383.89583,7/6/2021 22:00,105.9666667
1071845897,7/6/2021 22:00,44383.91667,7/6/2021 22:30,88.9
1071845897,7/6/2021 22:30,44383.9375,7/6/2021 23:00,101
1071845897,7/6/2021 23:00,44383.95833,7/6/2021 23:30,101
1071845897,7/6/2021 23:30,44383.97917,7/6/2021 23:59,101
226926090,7/6/2021 0:00,44383,7/6/2021 0:30,105
226926090,7/6/2021 0:30,44383.02083,7/6/2021 1:00,97.6
226926090,7/6/2021 1:00,44383.04167,7/6/2021 1:30,105
226926090,7/6/2021 1:30,44383.0625,7/6/2021 2:00,105
226926090,7/6/2021 2:00,44383.08333,7/6/2021 2:30,105
226926090,7/6/2021 2:30,44383.10417,7/6/2021 3:00,101.8
226926090,7/6/2021 3:00,44383.125,7/6/2021 3:30,94.9
226926090,7/6/2021 3:30,44383.14583,7/6/2021 4:00,88.9
226926090,7/6/2021 4:00,44383.16667,7/6/2021 4:30,88.13333333
226926090,7/6/2021 4:30,44383.1875,7/6/2021 5:00,106.0333333
226926090,7/6/2021 5:00,44383.20833,7/6/2021 5:30,106.9666667
