SegmentId;Length;Road;Antal kf;Max_speed
1071832566;968;E4;2kf;100
428390707;110;E4;1kf->2kf;100
428390709;324;E4;1kf;100
428390705;341;E4;1kf;100
1071790283;1029;E4;1kf;100
1071790234;1029;E4;Vävning;100
428399467;1077;E4;1kf->2kf;100
1071790221;1029;E4;Vävning;100
428399465;1028;E4;1kf->2kf;100
428399463;1078;E4;1kf;100
428399462;1028;E4;Vävning;100
428399461;1028;E4;1kf->2kf;100
428399460;1078;E4;Vävning;100
428399459;1028;E4;2kf;100
428399458;1029;E4;1kf->2kf;100
1071790380;1041;E4;Vävning;100
428399457;1050;E4;1kf->2kf;100
1071790344;1011;E4;1kf;100
1071790031;1031;E4;Vävning;100
1071790047;1031;E4;1kf->2kf;100
1071789997;1073;E4;vävning;100
1071790012;1031;E4;1kf->2kf;100
1071789967;1031;E4;1kf;100
226954600;1031;E4;Vävning;100
226926091;1073;E4;2kf;100
226926090;1031;E4;1kf->2kf;100
227035662;1031;E4;Vävning;100
1071790175;1020;E4;2kf;100
